5.1.9999;5;1;9999;CVE-2011-2262;PUBLISHED;"Unspecified vulnerability in the MySQL Server component in Oracle MySQL 5.1.x and 5.5.x allows remote attackers to affect availability via unknown vectors.";"USN-1397-1:http://www.ubuntu.com/usn/USN-1397-1   |   53372:http://secunia.com/advisories/53372   |   GLSA-201308-06:http://security.gentoo.org/glsa/glsa-201308-06.xml   |   48250:http://secunia.com/advisories/48250   |   http://www.oracle.com/technetwork/topics/security/cpujan2012-366304.html   |   http://bugs.debian.org/cgi-bin/bugreport.cgi?bug=659687   |   DSA-2429:http://www.debian.org/security/2012/dsa-2429";2011-06-02T00:00:00;;
5.5.9999;5;5;9999;CVE-2011-2262;PUBLISHED;"Unspecified vulnerability in the MySQL Server component in Oracle MySQL 5.1.x and 5.5.x allows remote attackers to affect availability via unknown vectors.";"USN-1397-1:http://www.ubuntu.com/usn/USN-1397-1   |   53372:http://secunia.com/advisories/53372   |   GLSA-201308-06:http://security.gentoo.org/glsa/glsa-201308-06.xml   |   48250:http://secunia.com/advisories/48250   |   http://www.oracle.com/technetwork/topics/security/cpujan2012-366304.html   |   http://bugs.debian.org/cgi-bin/bugreport.cgi?bug=659687   |   DSA-2429:http://www.debian.org/security/2012/dsa-2429";2011-06-02T00:00:00;;
0.9.3;0;9;3;CVE-2011-0432;PUBLISHED;"Multiple SQL injection vulnerabilities in the get_userinfo method in the MySQLAuthHandler class in DAVServer/mysqlauth.py in PyWebDAV before 0.9.4.1 allow remote attackers to execute arbitrary SQL commands via the (1) user or (2) pw argument.  NOTE: some of these details are obtained from third party information.";"DSA-2177:http://www.debian.org/security/2011/dsa-2177   |   FEDORA-2011-2427:http://lists.fedoraproject.org/pipermail/package-announce/2011-March/055444.html   |   http://pywebdav.googlecode.com/files/PyWebDAV-0.9.4.1.tar.gz   |   43602:http://secunia.com/advisories/43602   |   43571:http://secunia.com/advisories/43571   |   ADV-2011-0553:http://www.vupen.com/english/advisories/2011/0553   |   FEDORA-2011-2470:http://lists.fedoraproject.org/pipermail/package-announce/2011-March/055413.html   |   FEDORA-2011-2460:http://lists.fedoraproject.org/pipermail/package-announce/2011-March/055412.html   |   43703:http://secunia.com/advisories/43703   |   ADV-2011-0554:http://www.vupen.com/english/advisories/2011/0554   |   ADV-2011-0634:http://www.vupen.com/english/advisories/2011/0634   |   46655:http://www.securityfocus.com/bid/46655   |   http://code.google.com/p/pywebdav/updates/list   |   https://bugzilla.redhat.com/show_bug.cgi?id=677718";2011-01-12T00:00:00Z;;
8.0.43;8;0;43;CVE-2025-53054;PUBLISHED;"Vulnerability in the MySQL Server product of Oracle MySQL (component: InnoDB).  Supported versions that are affected are 8.0.0-8.0.43, 8.4.0-8.4.6 and  9.0.0-9.4.0. Easily exploitable vulnerability allows high privileged attacker with network access via multiple protocols to compromise MySQL Server.  Successful attacks of this vulnerability can result in unauthorized ability to cause a hang or frequently repeatable crash (complete DOS) of MySQL Server as well as  unauthorized update, insert or delete access to some of MySQL Server accessible data. CVSS 3.1 Base Score 5.5 (Integrity and Availability impacts).  CVSS Vector: (CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:N/I:L/A:H).";"Oracle Advisory:https://www.oracle.com/security-alerts/cpuoct2025.html";2025-06-24T16:45:19.422Z;;
8.4.6;8;4;6;CVE-2025-53054;PUBLISHED;"Vulnerability in the MySQL Server product of Oracle MySQL (component: InnoDB).  Supported versions that are affected are 8.0.0-8.0.43, 8.4.0-8.4.6 and  9.0.0-9.4.0. Easily exploitable vulnerability allows high privileged attacker with network access via multiple protocols to compromise MySQL Server.  Successful attacks of this vulnerability can result in unauthorized ability to cause a hang or frequently repeatable crash (complete DOS) of MySQL Server as well as  unauthorized update, insert or delete access to some of MySQL Server accessible data. CVSS 3.1 Base Score 5.5 (Integrity and Availability impacts).  CVSS Vector: (CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:N/I:L/A:H).";"Oracle Advisory:https://www.oracle.com/security-alerts/cpuoct2025.html";2025-06-24T16:45:19.422Z;;
9.4.0;9;4;0;CVE-2025-53054;PUBLISHED;"Vulnerability in the MySQL Server product of Oracle MySQL (component: InnoDB).  Supported versions that are affected are 8.0.0-8.0.43, 8.4.0-8.4.6 and  9.0.0-9.4.0. Easily exploitable vulnerability allows high privileged attacker with network access via multiple protocols to compromise MySQL Server.  Successful attacks of this vulnerability can result in unauthorized ability to cause a hang or frequently repeatable crash (complete DOS) of MySQL Server as well as  unauthorized update, insert or delete access to some of MySQL Server accessible data. CVSS 3.1 Base Score 5.5 (Integrity and Availability impacts).  CVSS Vector: (CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:N/I:L/A:H).";"Oracle Advisory:https://www.oracle.com/security-alerts/cpuoct2025.html";2025-06-24T16:45:19.422Z;;
8.0.43;8;0;43;CVE-2025-53069;PUBLISHED;"Vulnerability in the MySQL Server product of Oracle MySQL (component: Server: Components Services).  Supported versions that are affected are 8.0.0-8.0.43, 8.4.0-8.4.6 and  9.0.0-9.4.0. Easily exploitable vulnerability allows high privileged attacker with network access via multiple protocols to compromise MySQL Server.  Successful attacks of this vulnerability can result in unauthorized ability to cause a hang or frequently repeatable crash (complete DOS) of MySQL Server. CVSS 3.1 Base Score 4.9 (Availability impacts).  CVSS Vector: (CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:N/I:N/A:H).";"Oracle Advisory:https://www.oracle.com/security-alerts/cpuoct2025.html";2025-06-24T16:45:19.424Z;;
8.4.6;8;4;6;CVE-2025-53069;PUBLISHED;"Vulnerability in the MySQL Server product of Oracle MySQL (component: Server: Components Services).  Supported versions that are affected are 8.0.0-8.0.43, 8.4.0-8.4.6 and  9.0.0-9.4.0. Easily exploitable vulnerability allows high privileged attacker with network access via multiple protocols to compromise MySQL Server.  Successful attacks of this vulnerability can result in unauthorized ability to cause a hang or frequently repeatable crash (complete DOS) of MySQL Server. CVSS 3.1 Base Score 4.9 (Availability impacts).  CVSS Vector: (CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:N/I:N/A:H).";"Oracle Advisory:https://www.oracle.com/security-alerts/cpuoct2025.html";2025-06-24T16:45:19.424Z;;
9.4.0;9;4;0;CVE-2025-53069;PUBLISHED;"Vulnerability in the MySQL Server product of Oracle MySQL (component: Server: Components Services).  Supported versions that are affected are 8.0.0-8.0.43, 8.4.0-8.4.6 and  9.0.0-9.4.0. Easily exploitable vulnerability allows high privileged attacker with network access via multiple protocols to compromise MySQL Server.  Successful attacks of this vulnerability can result in unauthorized ability to cause a hang or frequently repeatable crash (complete DOS) of MySQL Server. CVSS 3.1 Base Score 4.9 (Availability impacts).  CVSS Vector: (CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:N/I:N/A:H).";"Oracle Advisory:https://www.oracle.com/security-alerts/cpuoct2025.html";2025-06-24T16:45:19.424Z;;
7.6.34;7;6;34;CVE-2025-53023;PUBLISHED;"Vulnerability in the MySQL Server product of Oracle MySQL (component: Server: Replication).  Supported versions that are affected are 8.0.0-8.0.42. Easily exploitable vulnerability allows high privileged attacker with network access via multiple protocols to compromise MySQL Server.  Successful attacks of this vulnerability can result in unauthorized ability to cause a hang or frequently repeatable crash (complete DOS) of MySQL Server. CVSS 3.1 Base Score 4.9 (Availability impacts).  CVSS Vector: (CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:N/I:N/A:H).";"Oracle Advisory:https://www.oracle.com/security-alerts/cpujul2025.html";2025-06-24T16:45:19.418Z;;
